-350 -340 175
 350 -340 175
 350 -320 175
-350 -320 175
-350 -300 175 
 350 -300 175 
 350 -280 175 
-350 -280 175 
-350 -260 175 
 350 -260 175 
 350 -240 175 
-350 -240 175 
-350 -220 175 
 350 -220 175 
 350 -200 175 
-350 -200 175 
-350 -180 175 
 350 -180 175 
 350 -160 175 
-350 -160 175 
-350 -140 175 
 350 -140 175 
 350 -120 175 
-350 -120 175 
-350 -100 175 
 350 -100 175 
 350 -80  175 
-350 -80  175 
-350 -60  175 
 350 -60  175  
 350 -40  175 
-350 -40  175 
-350 -20  175 
 350 -20  175 
 350  0	  175 
-350  0	  175 
-350  20  175 
 350  20  175  
 350  40  175 
-350  40  175 
-350  60  175 
 350  60  175 
 350  80  175 
-350  80  175
-350  100 175 
 350  100 175 
 350  120 175 
-350  120 175 
-350  140 175 
 350  140 175 
 350  160 175 
-350  160 175 
-350  180 175 
 350  180 175 
 350  200 175 
-350  200 175 
-350  220 175 
 350  220 175 
 350  240 175 
-350  240 175 
-350  260 175 
 350  260 175 
 350  280 175 
-350  280 175 
-350  300 175 
 350  300 175 
 350  320 175
-350  320 175
-350  340 175
 350  340 175

